"slang word","word formation model","context","part of speech","Genre of game Where it appears","Connotation","Sentence"
"To min-max","Word composition","Managing the characteristics of the game character","verb","General","ambivalent","I min-maxed my warrior's gear to sacrifice defense for maximum DPS."
"Speedrun","Word composition","Strategies and gameplay","noun","Action","ambivalent","She set a new world record with her 22-minute dungeon speedrun."
"Faceroll","Word composition","Game atmosphere and state of the player","noun","MOBA","irony/sarcasm","Yes leveling does take a long time, but part of the reason why it's so boring is because it's a faceroll. "
"Bug user","Word composition","Evaluating other users","noun","General","negative","Report any bug users you encounter to the devs immediately."
"War tag","Word composition","Player’s role","noun","General","positive","The guild requires war tags for all raid members."
"To ragequit","Word composition","Game atmosphere and state of the player","verb","FPS","negative","I know some people will always ragequit soon as things doesn’t go their way."
"To spawnkill","Word composition","Strategies and gameplay","verb","FPS","negative","The enemy team started to spawnkill us at our base—report them!"
"DPS race","Word composition","Strategies and gameplay","noun","MOBA","positive","This boss is a pure DPS race; ignore mechanics and just burn it down!"
"Hack and slash","Word composition","Strategies and gameplay","noun","Action","positive","I love hack and slash games like Diablo for their fast-paced combat."
"Killsteal","Word composition","Strategies and gameplay","noun","General","negative","The jungler took my kill—what a blatant killsteal!"
"To spellcast","Word composition","Game mechanics","verb","General","neutral","Mages need space to spellcast safely in teamfights."
"Double kill","Word composition","Game mechanics","noun","Action","positive","The mage got a double kill with her perfectly timed meteor strike!"
"Teamfight","Word composition","Teamwork","noun","MOBA","neutral","We lost the game because our teamfight coordination was terrible."
"Clutch move","Word composition","Strategies and gameplay","noun","MOBA","positive","That 1HP barrier clutch move saved the entire raid!"
"To face check","Word composition","Strategies and gameplay","verb","MOBA","negative","Never face check bushes without vision—their assassin is waiting!"
"Lag spike","Word composition","Technical terms","noun","FPS","negative","A lag spike made me walk into the enemy team—so frustrating!"
"Tryhard","Word composition","Evaluating other users","adjective","MOBA","ambivalent","Genshin is pretty fun if you don't play like a sweaty tryhard. "
"Group Loot","Word composition","Teamwork","noun","MMORPGB","neutral","We use Group Loot for casual dungeon runs."
"Master Loot","Word composition","Teamwork","noun","MMORPG","neutral","The raid leader distributes items via Master Loot."
"Loot Council","Word composition","Teamwork","noun","MMORPG","ambivalent","Our guild's Loot Council prioritizes mains over alts."
"Damage Dealer","Word composition","Player’s role","noun","MMORPG","neutral","I'm tired of being a low damage dealer."
"White damage","Word composition","Game mechanics","noun","MMORPG","ambivalent","Focus on reducing his white damage first - his abilities are on cooldown anyway."
"Turnaround","Word composition","Strategies and gameplay","noun","General","irony/sarcasm","That triple kill was an incredible turnaround for our losing team!"
"Gank squad","Word composition","Strategies and gameplay","noun","General","negative","Their gank squad keeps roaming between lanes - play safe!"
"To stunlock","Word composition","Game mechanics","verb","General","ambivalent","The rogue stunlocked me for 10 seconds straight - zero counterplay!"
"To zerg","Conversion","Strategies and gameplay","verb","Strategy","ambivalent","They zerged our base with 20 players before we could react."
"To camp","Conversion","Strategies and gameplay","verb","MMORPG","negative","Don't camp spawn points - that's against server rules."
"To farm","Conversion","Strategies and gameplay","verb","MMORPG","ambivalent","They're just farming kills instead of pushing objectives."
"To jungle","Conversion","Strategies and gameplay","verb","General","irony/sarcasm","I prefer to jungle rather than lane - it's more strategic."
"Unlocks","Conversion","In-game indicators","noun","General","neutral","The new skin unlocks at battle pass level 50."
"Carry","Conversion","Player’s role","noun","General","positive","Stop blaming others - you're not the carry you think you are."
"To backdoor","Conversion","Strategies and gameplay","verb","MOBA","negative","They backdoored our nexus while we were doing Baron!"
"To ghost","Conversion","Strategies and gameplay","verb","FPS","negative","he suspect was ghosting our comms during the tournament."
"Mount","Conversion","In-game creatures","noun","MMORPG","neutral","My epic mount increases movement speed by 100%."
"To bubble","Conversion","Game mechanics","verb","General","irony/sarcasm","The priest bubbled me just before the boss's smash attack."
"To turtle","Conversion","Game mechanics","verb","FPS","irony/sarcasm","We'll have to turtle under towers until late game."
"To tilt","Conversion","Game atmosphere and state of the player","verb","MOBA","negative","I stop commenting your post, because this is just a machiavellic effort of you to make people tilt."
"To reroll","Conversion","Game mechanics","verb","MMORPG","irony/sarcasm","I need to reroll my character, the stats are terrible!"
"To grind","Conversion","Strategies and gameplay","verb","MMORPG","ambivalent"," You go to grind soul stones for each and every single one plus soul stones for each summon so you lazy people don't have run there yourself."
"To dive","Conversion","Strategies and gameplay","verb","FPS","ambivalent","If we dive the enemy ADC now, we can win the fight"
"To pull","Conversion","Game mechanics","verb","MMORPG","ambivalent","Tank, learn to pull mobs properly without aggroing extra adds."
"To peel","Conversion","Teamwork","verb","MOBA","positive","Can someone peel for our healer? "
"To cut","Conversion","Strategies and gameplay","verb","General","ambivalent","Rogue, cut off their retreat path through the jungle!"
"To poke","Conversion","Strategies and gameplay","verb","MOBA","ambivalent","Poke the enemy team before committing to a full engage."
"To commit","Conversion","Strategies and gameplay","verb","MOBA","ambivalent","Once you commit to this fight, there's no backing out."
"To dodge","Conversion","Teamwork","verb","MOBA","ambivalent","Dodge the red circles or you'll die to the boss mechanic."
"To feed","Conversion","Strategies and gameplay","verb","MOBA","negative","Our top laner keeps feeding the enemy Darius - it's over."
"To taunt","Conversion","Strategies and gameplay","verb","MOBA","ambivalent","No need to taunt if you want them just because you think they're an 'easy target', you're only damaging the image of PvP players."
"To blink","Suffixation","Game mechanics","noun","MOBA","neutral","The mage used blink to escape the boss attack."
"Griefer","Suffixation","Evaluating other users","noun","General","negative","Our team lost because of that griefer who kept destroying our structures."""
"Flamer","Suffixation","Evaluating other users","noun","General","negative","Stop being a flamer and focus on the game"
"Leaver","Suffixation","Evaluating other users","noun","General","negative","That leaver ruined our ranked match by disconnecting."
